amor|sentimento profundo de afeição
sol|estrela que ilumina o dia
água|líquido essencial para a vida
cachorro|animal de estimação leal
floresta|grande área coberta de árvores
livro|conjunto de páginas encadernadas
casa|lugar onde se mora
amizade|relação de afeto entre pessoas
música|arte de organizar sons
sorriso|expressão de felicidade
carro|meio de transporte sobre rodas
comida|substância consumida para nutrição
paz|estado de tranquilidade e harmonia
natureza|totalidade do mundo físico
coração|órgão que bombeia sangue
fogo|combustão que produz calor e luz
estrela|corpo celeste que brilha no céu
lua|satélite natural da Terra
montanha|elevação do terreno
praia|costa marítima de areia
jardim|área cultivada com plantas
caminho|trajeto que se percorre
viajem|ato de se deslocar para outro lugar
tempo|período em que os eventos ocorrem
sonho|imagem ou ideia durante o sono
história|narrativa de eventos passados
arte|expressão criativa e estética
tecnologia|aplicação de conhecimentos científicos
ciência|estudo sistemático do mundo
família|grupo de pessoas unidas por laços
escola|instituição de ensino
futebol|jogo de equipe com uma bola
computador|máquina para processamento de dados
coração|símbolo do amor
bailar|dançar ao som de música
pintura|arte de aplicar cor em superfícies
fotografia|captura de imagens
escrita|ato de registrar palavras
sabedoria|conhecimento profundo e experiência
destino|curso dos eventos na vida
desafio|situação que exige esforço
cultura|conjunto de conhecimentos e práticas
jogo|atividade lúdica
universo|totalidade do espaço e do tempo
estrela|brilho no céu à noite
caminhada|ato de andar para relaxar
cuidado|atenção e zelo com algo
esperança|expectativa de algo positivo
coragem|capacidade de enfrentar medos
sorriso|expressão de alegria
mudança|ato de alterar algo
sabão|substância usada para limpar
internet|rede global de comunicação
sabedoria|conhecimento profundo
férias|período de descanso
trabalho|atividade para produzir algo
morte|fim da vida
saúde|estado de bem-estar físico
felicidade|estado de alegria
tradição|transmissão de costumes
carinho|afeto demonstrado
futuro|tempo que está por vir
presente|o que se vive agora
livraria|local que vende livros
estudo|ato de aprender
música|conjunto de sons harmoniosos
cidadania|direitos e deveres de um cidadão
poder|capacidade de influenciar
amizade|relação de confiança entre pessoas
respeito|consideração por outrem
valores|princípios que orientam ações
solidão|estado de estar sozinho
tranquilidade|estado de calma
ar|mistura de gases que respiramos
tempo|condição atmosférica em um lugar
café|bebida feita a partir de grãos torrados
pássaro|animal que voa e tem penas
cidade|área urbanizada com população
relógio|instrumento que mede o tempo
sapo|anfíbio que pula e tem pele lisa
esporte|atividade física competitiva
desenho|representação visual de algo
sabedoria|conhecimento aplicado
jogo|atividade lúdica entre participantes
